--------------------
Worker: Wallace, level: 31, craft time coefficient: 0.41
Worker: Julia, level: 31, craft time coefficient: 0.41
Worker: Allan, level: 29, craft time coefficient: 0.43
Worker: Maribel, level: 29, craft time coefficient: 0.43
Worker: Grimar, level: 30, craft time coefficient: 0.43
Worker: Katarina, level: 29, craft time coefficient: 0.43
Worker: Freyja, level: 29, craft time coefficient: 0.43
Worker: Theodore, level: 31, craft time coefficient: 0.41
Worker: Evelyn, level: 30, craft time coefficient: 0.43
Worker: Roxanne, level: 27, craft time coefficient: 0.46
--------------------
Building IronMine, level: 16, regen rate: 22.88
Building Lumberyard, level: 16, regen rate: 22.88
Building Tannery, level: 16, regen rate: 22.88
Building Garden, level: 16, regen rate: 22.88
Building Smelter, level: 15, regen rate: 6.15
Building Sawmill, level: 15, regen rate: 6.15
Building WeaverMill, level: 15, regen rate: 6.15
Building OilPress, level: 15, regen rate: 6.15
Building EtherWell, level: 15, regen rate: 1.2
Building JewelStorehouse, level: 15, regen rate: 1.2
--------------------
             name             |           value/minute/slot            |           profit/minute/slot           |            iron/minute/slot            |            wood/minute/slot            |          leather/minute/slot           |           herbs/minute/slot            |           steel/minute/slot            |          ironwood/minute/slot          |           fabric/minute/slot           |            oils/minute/slot            |           ether/minute/slot            |           jewels/minute/slot           |               value/iron               |               value/wood               |             value/leather              |              value/herbs               |              value/steel               |             value/ironwood             |              value/fabric              |               value/oils               |              value/ether               |              value/jewels              |
         Squire Sword         |                727.273                 |                727.273                 |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  75.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Arming Sword         |                630.303                 |                630.303                 |                 9.697                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  65.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Gladius            |                1156.71                 |                1156.71                 |                 15.238                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 75.909                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Arboreal Blade        |                1270.303                |                1270.303                |                 12.606                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                100.769                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Zweihander          |                1120.539                |                1120.539                |                 2.155                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 520.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Cutlass            |                1838.833                |                1838.833                |                 12.211                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                150.588                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
            Espada            |                1444.751                |                1444.751                |                 6.465                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.175                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                223.485                 |                  0.0                   |                  0.0                   |                  0.0                   |                1229.167                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Hero's Sword         |                2067.183                |                2067.183                |                 7.216                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.203                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                286.458                 |                  0.0                   |                  0.0                   |                  0.0                   |                1718.75                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
            Katana            |                2424.242                |                2424.242                |                 5.495                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.374                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                441.176                 |                  0.0                   |                  0.0                   |                  0.0                   |                1764.706                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      Serrated Cinquedea      |                2592.593                |                2592.593                |                 3.609                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.239                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                718.284                 |                  0.0                   |                  0.0                   |                  0.0                   |                2092.391                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Regal Blade          |                2606.061                |                2606.061                |                 3.653                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.937                  |                  0.0                   |                  0.0                   |                 0.582                  |                  0.0                   |                  0.0                   |                713.496                 |                  0.0                   |                  0.0                   |                  0.0                   |                2780.172                |                  0.0                   |                  0.0                   |                4479.167                |                  0.0                   |                  0.0                   |
       Celesteel Blade        |                3581.267                |                3581.267                |                 2.336                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.749                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.044                  |                1533.019                |                  0.0                   |                  0.0                   |                  0.0                   |                4779.412                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                81250.0                 |
           Damocles           |                3292.181                |                3292.181                |                 2.047                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.551                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.048                  |                  0.0                   |                1608.187                |                  0.0                   |                  0.0                   |                  0.0                   |                5978.261                |                  0.0                   |                  0.0                   |                  0.0                   |                68750.0                 |                  0.0                   |
     Luxurious Macuahuitl     |                4608.586                |                4608.586                |                 1.848                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.505                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.061                  |                2493.169                |                  0.0                   |                  0.0                   |                  0.0                   |                 9125.0                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |               76041.667                |
         Mythril Edge         |                3565.062                |                3565.062                |                 1.968                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.684                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 0.076                  |                1811.594                |                  0.0                   |                  0.0                   |                  0.0                   |                5208.333                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                46875.0                 |
